Date,High,Low,Open,Close,Volume,Adj Close,pct_change,log_change,volume_change,volume_log_change,7ma,14ma,21ma,28ma,volume_7ma,volume_14ma,volume_21ma,volume_28ma,ema,12ema,26ema,MACD,volume_ema,volume_12ema,volume_26ema,volume_MACD,20std,upper,lower,volume_20std,volume_upper,volume_lower,AAPL,MTK,GUC,Xintec,Qualcomm,SamSung,Broadcom,VIX,USD,CNY,CCY,HKD,JPY,TWIndex,PLIX,S&P500,Japan225,KoreanIndex,NASDQ,dealer_buy,dealer_sell,dealer_dif,investment_buy,investment_sell,investment_dif,foreign_buy,foreign_sell,foreign_dif
2010-02-10,59.2,58.2,59.0,58.4,53679000.0,38.37,-0.0034129692832764,-0.0034188067487859,0.1732088997683262,0.1597426439842451,58.5,59.42857142857143,60.595238095238095,61.53928571428571,51058142.85714286,59018214.28571428,52980428.571428575,50473464.28571428,58.35171206392928,59.22502712833057,60.22831911577992,-1.0032919874493516,51403084.54657897,53620707.00048686,53075724.54262533,544982.4578615278,1.960202728505916,62.32040545701183,54.47959454298817,1.960202728505916,53679003.920405455,53678996.07959455,6.97,507.84,142.0,28.43,37.43,15100,16.8,25.4,32.06,0.15,0.67,7.77,0.09,7441.84,323.4,1068.13,9963.99,1570.12,2147.87,3161497580,2968407011,193090569,3102476560,1648311871,1454164689,15513803410.0,25495641620.0,-9981838210
2010-02-22,60.5,59.0,60.5,59.0,47519000.0,38.76,0.0102739726027397,0.0102215540715384,-0.1147562361444885,-0.1218922325159113,58.5,59.27857142857143,60.4142857142857,61.32857142857142,48488000.0,57846857.14285714,52958666.66666666,50763178.571428575,58.78390402130977,59.19013291732285,60.126393041972165,-0.9362601246493156,48813694.84885962,52674535.518133566,52614626.845304735,59908.67282883078,1.8772530323236525,62.7545060646473,55.2454939353527,1.8772530323236525,47519003.75450607,47518996.24549393,7.16,518.63,141.0,28.43,39.01,15460,17.35,19.94,32.0,0.15,0.68,7.76,0.09,7560.04,342.55,1108.01,10400.47,1627.1,2242.03,3133892869,2444166818,689726051,2130761100,1359109401,771651699,28467489316.0,25036187231.0,3431302085
2010-02-23,59.9,59.1,59.6,59.8,50343000.0,39.29,0.0135593220338982,0.0134682170508666,0.0594288600349333,0.057729951625209,58.5,59.23571428571428,60.25238095238096,61.160714285714285,49619000.0,57003428.571428575,53634571.42857143,51234785.71428572,59.46130134043659,59.28458769953773,60.09954798994082,-0.8149602904030857,49833231.61628655,52313432.76993337,52427790.935784325,-114358.16585095228,1.7182916853053198,63.23658337061064,56.36341662938936,1.7182916853053198,50343003.43658337,50342996.56341663,7.04,523.53,143.5,28.43,38.54,15340,17.38,21.37,32.06,0.15,0.67,7.76,0.09,7597.44,332.87,1094.6,10352.1,1628.9,2213.44,2000150200,2287498353,-287348153,2263043520,2650742656,-387699136,24222177202.0,23608596621.0,613580581
2010-02-24,59.2,58.4,59.2,58.5,54884000.0,38.43,-0.0217391304347825,-0.0219789067187754,0.0902012196333154,0.0863622843717948,58.41428571428572,59.12142857142857,60.01428571428572,60.932142857142864,51379000.0,55272857.14285714,53969428.571428575,51435607.14285714,58.82043378014552,59.16319781183603,59.969055555447135,-0.8058577436111065,53200410.53876218,52711145.94791376,52628170.48202527,82975.46588849276,1.6183487360822038,61.73669747216441,55.26330252783559,1.6183487360822038,54884003.23669747,54883996.76330253,7.17,517.65,146.5,28.43,37.87,15040,17.74,20.27,32.02,0.15,0.67,7.76,0.09,7529.67,339.27,1105.24,10198.83,1612.83,2235.9,2043898760,1998239251,45659509,2258613250,1775532693,483080557,20276385689.0,25468455332.0,-5192069643
2010-02-25,58.9,57.9,58.5,58.2,55655000.0,38.24,-0.005128205128205,-0.0051413995004185,0.0140478099263902,0.013950053886262,58.557142857142864,59.021428571428565,59.79047619047618,60.71785714285714,50440142.85714286,55488285.71428572,55184619.047619045,51918500.0,58.40681126004851,59.01430353586344,59.82580986381073,-0.811506327947292,54836803.51292072,53166216.55985671,52873261.87354926,292954.6863074526,1.5339920400534297,61.267984080106864,55.13201591989314,1.5339920400534297,55655003.06798408,55654996.93201592,7.21,497.06,143.0,28.43,37.18,14720,18.09,20.1,32.04,0.15,0.67,7.76,0.09,7426.96,338.39,1102.94,10101.96,1587.51,2234.22,1728179056,3572176638,-1843997582,1801497370,2286138110,-484640740,22592376905.0,31438203724.0,-8845826819
2010-02-26,58.9,58.0,58.2,58.8,30877000.0,38.63,0.0103092783505153,0.0102565001671885,-0.4452070793280028,-0.5891603507670737,58.75714285714286,58.93571428571428,59.61428571428572,60.53214285714286,48387285.71428572,54551785.71428572,54407238.0952381,51375678.571428575,58.66893708668284,58.98120019391447,59.74331610343533,-0.7621159095208654,38863601.17097358,49723214.30334779,51104362.56758008,-1381148.2642322928,1.3252507210653093,61.450501442130616,56.14949855786938,1.3252507210653093,30877002.65050144,30876997.34949856,7.31,495.1,141.5,28.43,36.68,14880,18.15,19.5,31.98,0.15,0.67,7.76,0.09,7436.1,338.86,1104.49,10126.03,1594.58,2238.26,1756674833,1747134390,9540443,1924798840,2214147572,-289348732,18290830459.0,19784881500.0,-1494051041
2010-03-01,59.9,58.2,59.5,59.6,60146000.0,39.16,0.0136054421768708,0.0135137191667231,0.9479224017877383,0.666763369615694,58.9,58.8,59.45238095238095,60.35714285714285,50443285.71428572,52307928.571428575,54781761.9047619,52209500.0,59.28964569556095,59.07672630057278,59.73186353975351,-0.655137239180732,53051867.05699119,51332213.09155593,51826890.78318601,-494677.69163008034,1.099988038212432,61.79997607642487,57.400023923575134,1.099988038212432,60146002.19997608,60145997.80002392,7.46,507.84,143.0,28.43,35.56,14880,18.3,19.26,31.98,0.15,0.68,7.76,0.09,7577.75,349.48,1115.71,10172.06,1594.58,2273.57,3534156549,1804885651,1729270898,2731066240,2079573268,651492972,27389310037.0,20386449753.0,7002860284
2010-03-02,60.5,59.5,60.5,59.9,53495000.0,39.35,0.0050335570469798,0.0050209310500992,-0.1105809197619126,-0.1171867482032418,59.114285714285714,58.80714285714286,59.32380952380953,60.22500000000001,50417000.0,50737571.42857143,56151142.85714286,52339571.42857143,59.69654856518698,59.20375074877008,59.74522155566168,-0.5414708068915957,53347289.018997066,51665913.55326704,51959417.83545119,-293504.2821841538,1.0266322049353576,61.95326440987071,57.846735590129285,1.0266322049353576,53495002.05326441,53494997.94673559,7.46,505.88,143.0,28.43,37.93,15400,18.72,19.06,31.97,0.15,0.68,7.76,0.09,7597.62,349.39,1118.31,10221.84,1615.12,2280.79,2819078867,2172144054,646934813,3550348860,2316570567,1233778293,21141209576.0,17047409473.0,4093800103
2010-03-03,60.1,59.6,59.6,60.0,32150000.0,39.42,0.001669449081803,0.001668057100697,-0.3990092532012337,-0.5091757409069402,59.25714285714286,58.87857142857143,59.27142857142857,60.125,48221428.571428575,48354714.28571428,54638380.95238096,51774357.14285714,59.898849521729,59.32655080860354,59.76535487352637,-0.4388040649228273,39215763.00633236,48656108.08300244,50394021.253211245,-1737913.1702088043,1.0064397908625666,62.01287958172513,57.98712041827487,1.0064397908625666,32150002.01287958,32149997.98712042,7.48,514.71,141.0,28.43,38.69,15420,18.91,18.83,31.93,0.15,0.68,7.76,0.09,7629.52,346.37,1118.79,10253.14,1622.44,2280.68,2211044669,1692801093,518243576,3200803160,2906248376,294554784,15730828669.0,12403435399.0,3327393270
2010-03-04,59.8,58.4,59.8,59.2,53405000.0,38.89,-0.0133333333333332,-0.0134230203321399,0.6611197511664074,0.50749192385803,59.17142857142857,58.83571428571429,59.21428571428572,59.98214285714285,48658857.14285714,49138928.571428575,54221904.76190476,52390642.85714286,59.432949840576335,59.30704110040944,59.72089892458101,-0.413857824171572,48675254.33544412,49388221.10992276,50630785.67094392,-1242564.561021164,0.984671999890486,61.16934399978098,57.23065600021903,0.984671999890486,53405001.969344,53404998.030656,7.53,503.92,142.0,28.43,39.25,15220,19.06,18.72,31.92,0.15,0.68,7.76,0.09,7569.8,346.55,1122.97,10145.72,1618.2,2292.31,2247034172,2965663790,-718629618,3482705180,2761080945,721624235,15981851954.0,20023843169.0,-4041991215
