Date,High,Low,Open,Close,Volume,Adj Close,pct_change,log_change,7ma,14ma,21ma,7macd,14macd,7atr,14atr,21atr,7upper,7lower,14upper,14lower,21upper,21lower,7rsv,14rsv,21rsv,AAPL,MTK,GUC,Xintec,Qualcomm,SamSung,Broadcom,VIX,USD,CNY,CCY,HKD,JPY,TWIndex,PLIX,S&P500,Japan225,KoreanIndex,NASDQ,dealer_buy,dealer_sell,dealer_dif,investment_buy,investment_sell,investment_dif,foreign_buy,foreign_sell,foreign_dif,FT_3components,FT_6components,FT_9components,FT_27components,FT_81components,FT_100components
2010/2/10,52.25,51.70000076,51.95000076,52.09999847,11219,52.09999847,0.010669239,0.010612724,51.94324122,52.70859544,53.26362782,1.0484694,1.188443028,0.764286041,0.90357181,0.838095892,53.32476527,50.21809012,54.86234047,50.32337371,58.68400918,49.40170525,67.49992371,36.9862441,19.1489166,6.97,507.84,142,28.43,37.43,15100,16.8,25.4,32.06,0.15,0.67,7.77,0.09,7441.84,323.4,1068.13,9963.99,1570.12,2147.87,3161497580,2968407011,193090569,3102476560,1648311871,1454164689,15513803410,25495641620,-9981838210,96.35891982,98.3410828,94.15768179,97.5045149,95.2903885,94.81609403
2010/2/22,53.15000153,52.59999847,53.04999924,52.59999847,11187,52.59999847,0.009596929,0.009551171,52.10746964,52.69388391,53.19923883,0.848937722,1.175346712,0.650000436,0.882143293,0.842857906,53.55572796,50.20141315,54.48282671,50.44574418,58.35377572,49.33670047,92.49992371,53.62313232,26.24111595,7.16,518.63,141,28.43,39.01,15460,17.35,19.94,32,0.15,0.68,7.76,0.09,7560.04,342.55,1108.01,10400.47,1627.1,2242.03,3133892869,2444166818,689726051,2130761100,1359109401,771651699,28467489316,25036187231,3431302085,96.24219542,98.00204907,93.59732527,95.92937277,90.41447063,88.71265961
2010/2/23,52.75,52.20000076,52.59999847,52.59999847,9571,52.59999847,0,0,52.23062384,52.68119244,53.14145068,0.65348635,1.139588817,0.621428898,0.875000272,0.830953144,53.48546198,50.22882156,54.10980781,50.59019132,57.83496671,49.3936045,100,56.06057278,26.24111595,7.04,523.53,143.5,28.43,38.54,15340,17.38,21.37,32.06,0.15,0.67,7.76,0.09,7597.44,332.87,1094.6,10352.1,1628.9,2213.44,2000150200,2287498353,-287348153,2263043520,2650742656,-387699136,24222177202,23608596621,613580581,96.12514046,97.66273094,93.03782965,94.35236054,85.60413755,82.7412715
2010/2/24,52.54999924,52.15000153,52.15000153,52.25,11026,52.25,-0.006653964,-0.0066762,52.23546853,52.62301115,53.05595553,0.515544183,1.096532041,0.607142857,0.775000163,0.821429116,53.37175471,50.25681475,54.02582193,50.57417709,57.14328442,49.55671543,81.08114796,45.45455596,22.22222222,7.17,517.65,146.5,28.43,37.87,15040,17.74,20.27,32.02,0.15,0.67,7.76,0.09,7529.67,339.27,1105.24,10198.83,1612.83,2235.9,2043898760,1998239251,45659509,2258613250,1775532693,483080557,20276385689,25468455332,-5192069643,96.00775723,97.32315318,92.4792755,92.77524605,80.90760696,76.99429606
2010/2/25,52.29999924,51.34999847,52.25,51.65000153,20361,51.65000153,-0.011483224,-0.011549666,52.08908707,52.49193128,52.92178698,0.463496654,1.060989657,0.628571647,0.800000327,0.847619556,53.21227656,50.6734362,53.93215261,50.48927499,56.41755733,49.72529981,45.7144601,27.27277982,15.00002543,7.21,497.06,143,28.43,37.18,14720,18.09,20.1,32.04,0.15,0.67,7.76,0.09,7426.96,338.39,1102.94,10101.96,1587.51,2234.22,1728179056,3572176638,-1843997582,1801497370,2286138110,-484640740,22592376905,31438203724,-8845826819,95.89004803,96.98334052,91.92174306,91.19979896,76.37119388,71.55789481
2010/2/26,51.75,51.20000076,51.65000153,51.54999924,9375,51.54999924,-0.001936153,-0.001938029,51.95430496,52.36521326,52.79146788,0.447781438,1.030878267,0.635714395,0.760714395,0.816667103,52.97635871,51.10935427,53.41756503,50.64671971,55.77264412,49.87497486,0,35.55552165,14.15927471,7.31,495.1,141.5,28.43,36.68,14880,18.15,19.5,31.98,0.15,0.67,7.76,0.09,7436.1,338.86,1104.49,10126.03,1594.58,2238.26,1756674833,1747134390,9540443,1924798840,2214147572,-289348732,18290830459,19784881500,-1494051041,95.77201516,96.64331768,91.36531221,89.62778714,72.03847939,66.50966113
2010/3/1,52.95000076,51.5,51.5,52.79999924,13623,52.79999924,0.024248303,0.023958981,52.16574048,52.42363507,52.79227505,0.333282944,0.976546961,0.714285714,0.789285932,0.845238459,53.19243501,51.25042082,53.36385185,50.67186135,55.10482458,50.19993704,100,100,39.42305647,7.46,507.84,143,28.43,35.56,14880,18.3,19.26,31.98,0.15,0.68,7.76,0.09,7577.75,349.48,1115.71,10172.06,1594.58,2273.57,3534156549,1804885651,1729270898,2731066240,2079573268,651492972,27389310037,20386449753,7002860284,95.65366092,96.30310934,90.81006244,88.060973,67.94953515,61.91654088
2010/3/2,53.09999847,52.54999924,52.75,52.65000153,9987,52.65000153,-0.002840866,-0.002844909,52.28681087,52.45402026,52.77886387,0.217327962,0.911513295,0.714285714,0.739285878,0.840476445,53.31324461,51.28675495,53.40988691,50.66154058,54.42808766,50.56238831,88.00018311,92.68303576,52.05481456,7.46,505.88,143,28.43,37.93,15400,18.72,19.06,31.97,0.15,0.68,7.76,0.09,7597.62,349.39,1118.31,10221.84,1615.12,2280.79,2819078867,2172144054,646934813,3550348860,2316570567,1233778293,21141209576,17047409473,4093800103,95.53498766,95.96274019,90.25607286,86.50110993,64.14022057,57.83310444
2010/3/3,53.09999847,52.5,52.70000076,52.65000153,8747,52.65000153,0,0,52.37761142,52.48030327,52.76675748,0.120553393,0.841458717,0.721427917,0.685714177,0.828571501,53.33090817,51.28337798,53.49990373,50.6858099,54.13988229,50.68392702,88.00018311,92.68303576,55.07249582,7.48,514.71,141,28.43,38.69,15420,18.91,18.83,31.93,0.15,0.68,7.76,0.09,7629.52,346.37,1118.79,10253.14,1622.44,2280.68,2211044669,1692801093,518243576,3200803160,2906248376,294554784,15730828669,12403435399,3327393270,95.41599768,95.62223488,89.70342215,84.94993869,60.64156757,54.30022492
2010/3/4,52.90000153,51.79999924,52.75,52.20000076,8138,52.20000076,-0.008547023,-0.008583758,52.3332077,52.44274112,52.71367302,0.084905324,0.779682942,0.799999782,0.71071434,0.850000109,53.24163245,51.25836864,53.41143417,50.69570814,53.83894596,50.79438715,52.00012207,70.73177086,43.93942722,7.53,503.92,142,28.43,39.25,15220,19.06,18.72,31.92,0.15,0.68,7.76,0.09,7569.8,346.55,1122.97,10145.72,1618.2,2292.31,2247034172,2965663790,-718629618,3482705180,2761080945,721624235,15981851954,20023843169,-4041991215,95.29669333,95.28161803,89.15218857,83.40918381,57.47926601,51.34420286
2010/3/5,53.20000076,52.5,52.84999847,52.95000076,13596,52.95000076,0.014367816,0.014265577,52.48740872,52.51067116,52.73574752,0.011544497,0.708527608,0.842857361,0.725000109,0.797619229,53.47398195,51.22601936,53.50048847,50.66379691,53.83894596,50.79438715,100,100,66.6667052,7.82,499.02,142.5,28.43,38.76,15500,19.36,17.42,31.84,0.15,0.68,7.76,0.09,7666.26,351.53,1138.7,10368.96,1634.57,2326.35,2853449163,2131475173,721973990,2638308490,2280762663,357545827,24048795033,13154620805,10894174228,95.17707696,94.94091423,88.60244995,81.88055012,54.67326076,48.97636154
2010/3/8,53.65000153,53.25,53.29999924,53.65000153,16956,53.65000153,0.013220033,0.013133411,52.77806082,52.6631566,52.82093187,-0.116863759,0.619437617,0.764286041,0.696428844,0.788095565,53.93278236,51.33864752,53.7165911,50.86198022,53.9646705,50.74009119,100,100,87.87885443,7.82,517.65,144,28.43,38.79,15720,19.31,17.79,31.86,0.15,0.69,7.76,0.09,7762.27,351.21,1138.5,10585.92,1660.04,2332.21,3468835440,1988062453,1480772987,2793812400,2194436811,599375589,26213654567,11460036328,14753618239,95.05715092,94.60014803,88.05428361,80.36571925,52.23746818,47.19312074
2010/3/9,53.79999924,53.54999924,53.70000076,53.79999924,7760,53.79999924,0.002795857,0.002791955,53.03354799,52.81523237,52.91194901,-0.24577516,0.520308933,0.721429007,0.678571701,0.747619266,54.10522623,51.8090608,53.88230611,51.11769389,53.90304475,50.77790741,100,100,100,7.97,521.57,141,28.43,38.68,15720,19.35,17.92,31.78,0.15,0.68,7.76,0.09,7770.59,350.47,1140.45,10567.65,1660.83,2340.68,2126283016,1580832636,545450380,2964421550,2481081111,483340439,20155559320,10655578412,9499980908,94.93691757,94.25934396,87.50776643,78.86634616,50.17961773,45.97653931
2010/3/10,53.95000076,53.45000076,53.84999847,53.79999924,6829,53.79999924,0,0,53.22516225,52.94690739,52.9943357,-0.342860348,0.419873204,0.585714613,0.650000163,0.721428826,54.39614756,51.80385375,54.08963454,51.23179403,54.04427619,50.71286638,100,100,100,8.03,527.45,142,28.43,38.88,15680,19.74,18.57,31.8,0.15,0.69,7.76,0.09,7779.08,358.04,1145.61,10563.92,1662.24,2358.95,1918077660,2147620726,-229543066,2368380100,2361902001,6478099,18112245790,11854296210,6257949580,94.81637927,93.9185265,86.96297479,77.38405584,48.50122104,45.29530107
2010/3/11,54,53.5,54,53.65000153,6651,53.65000153,-0.002788062,-0.002791955,53.33137267,53.04088385,53.05505035,-0.390129436,0.326818824,0.578571865,0.646428789,0.68571454,54.52793621,51.95777938,54.25244422,51.29041336,54.19391599,50.6822742,90.62513411,93.33343506,95.08204103,8.05,535.29,144,28.43,39.1,15560,19.86,18.06,31.73,0.15,0.69,7.76,0.09,7749.66,357.16,1150.24,10664.95,1656.62,2368.46,2082776886,2068552806,14224080,2224351560,2747345896,-522994336,19331563218,14553345382,4778217836,94.69553842,93.57772009,86.41998453,75.92043997,47.19766802,45.10610302
2010/3/12,53.70000076,53.40000153,53.70000076,53.59999847,12600,53.59999847,-0.000932023,-0.000932458,53.39852941,53.11559132,53.10542736,-0.39968699,0.243986575,0.535714831,0.628571374,0.635714395,54.56860889,52.1885344,54.38351482,51.3021999,54.32547186,50.71738499,87.4999404,91.1110772,93.4425963,8.09,527.45,142,28.43,38.95,15560,19.65,17.58,31.7,0.15,0.69,7.76,0.09,7748.33,355.37,1149.99,10751.26,1662.74,2367.66,2082122240,1583527559,498594681,1957003940,2748747987,-791744047,19375067817,16839578091,2535489726,94.57439739,93.23694912,85.87887097,74.47705372,46.25844663,45.35539108
2010/3/15,53.54999924,52.70000076,53.5,52.84999847,10325,52.84999847,-0.013992538,-0.014091356,53.26139624,53.08011356,53.08185075,-0.324650241,0.187411373,0.5,0.649999891,0.640476227,54.26904429,52.67381264,54.39502856,51.32640044,54.33329295,50.71908757,0,57.77774387,68.85242621,7.99,519.61,140.5,28.43,38.87,15360,19.42,18,31.79,0.15,0.68,7.76,0.09,7634.92,350.43,1150.51,10751.98,1649.5,2362.21,1850891961,3197094977,-1346203016,1548638700,2375784434,-827145734,12264155802,14224720842,-1960565040,94.45295857,92.89623796,85.3397089,73.05541264,45.66748023,45.98137744
2010/3/16,53.09999847,52.75,52.79999924,53.09999847,13191,53.09999847,0.004730369,0.004719216,53.2210467,53.08276912,53.08352349,-0.252878445,0.144017456,0.449999673,0.646428517,0.633333297,54.23093787,52.75477554,54.4184582,51.42439916,54.37679211,50.72796929,26.31576834,68.88885498,77.04914957,8.02,521.57,141,28.43,39.01,15300,19.5,17.69,31.78,0.15,0.68,7.76,0.09,7695.63,359.87,1159.46,10721.71,1648.01,2378.01,2229057325,1933122375,295934950,1951825550,2061266854,-109441304,12326062869,12357415674,-31352805,94.33122437,92.55561089,84.80257253,71.6569896,45.40357356,46.91626423
