Date,AAPL,MTK,GUC,Xintec,Qualcomm,SamSung,Broadcom,VIX,USD,CNY,CCY,HKD,JPY,TWIndex,PLIX,S&P500,Japan225,KoreanIndex,NASDQ,dealer_buy,dealer_sell,dealer_dif,investment_buy,investment_sell,investment_dif,foreign_buy,foreign_sell,foreign_dif
2010/2/10,6.97,507.84,142,28.43,37.43,15100,16.8,25.4,32.06,0.15,0.67,7.77,0.09,7441.84,323.4,1068.13,9963.99,1570.12,2147.87,3161497580,2968407011,193090569,3102476560,1648311871,1454164689,15513803410,25495641620,-9981838210
2010/2/22,7.16,518.63,141,28.43,39.01,15460,17.35,19.94,32,0.15,0.68,7.76,0.09,7560.04,342.55,1108.01,10400.47,1627.1,2242.03,3133892869,2444166818,689726051,2130761100,1359109401,771651699,28467489316,25036187231,3431302085
2010/2/23,7.04,523.53,143.5,28.43,38.54,15340,17.38,21.37,32.06,0.15,0.67,7.76,0.09,7597.44,332.87,1094.6,10352.1,1628.9,2213.44,2000150200,2287498353,-287348153,2263043520,2650742656,-387699136,24222177202,23608596621,613580581
2010/2/24,7.17,517.65,146.5,28.43,37.87,15040,17.74,20.27,32.02,0.15,0.67,7.76,0.09,7529.67,339.27,1105.24,10198.83,1612.83,2235.9,2043898760,1998239251,45659509,2258613250,1775532693,483080557,20276385689,25468455332,-5192069643
2010/2/25,7.21,497.06,143,28.43,37.18,14720,18.09,20.1,32.04,0.15,0.67,7.76,0.09,7426.96,338.39,1102.94,10101.96,1587.51,2234.22,1728179056,3572176638,-1843997582,1801497370,2286138110,-484640740,22592376905,31438203724,-8845826819
2010/2/26,7.31,495.1,141.5,28.43,36.68,14880,18.15,19.5,31.98,0.15,0.67,7.76,0.09,7436.1,338.86,1104.49,10126.03,1594.58,2238.26,1756674833,1747134390,9540443,1924798840,2214147572,-289348732,18290830459,19784881500,-1494051041
2010/3/1,7.46,507.84,143,28.43,35.56,14880,18.3,19.26,31.98,0.15,0.68,7.76,0.09,7577.75,349.48,1115.71,10172.06,1594.58,2273.57,3534156549,1804885651,1729270898,2731066240,2079573268,651492972,27389310037,20386449753,7002860284
2010/3/2,7.46,505.88,143,28.43,37.93,15400,18.72,19.06,31.97,0.15,0.68,7.76,0.09,7597.62,349.39,1118.31,10221.84,1615.12,2280.79,2819078867,2172144054,646934813,3550348860,2316570567,1233778293,21141209576,17047409473,4093800103
2010/3/3,7.48,514.71,141,28.43,38.69,15420,18.91,18.83,31.93,0.15,0.68,7.76,0.09,7629.52,346.37,1118.79,10253.14,1622.44,2280.68,2211044669,1692801093,518243576,3200803160,2906248376,294554784,15730828669,12403435399,3327393270
2010/3/4,7.53,503.92,142,28.43,39.25,15220,19.06,18.72,31.92,0.15,0.68,7.76,0.09,7569.8,346.55,1122.97,10145.72,1618.2,2292.31,2247034172,2965663790,-718629618,3482705180,2761080945,721624235,15981851954,20023843169,-4041991215
2010/3/5,7.82,499.02,142.5,28.43,38.76,15500,19.36,17.42,31.84,0.15,0.68,7.76,0.09,7666.26,351.53,1138.7,10368.96,1634.57,2326.35,2853449163,2131475173,721973990,2638308490,2280762663,357545827,24048795033,13154620805,10894174228
2010/3/8,7.82,517.65,144,28.43,38.79,15720,19.31,17.79,31.86,0.15,0.69,7.76,0.09,7762.27,351.21,1138.5,10585.92,1660.04,2332.21,3468835440,1988062453,1480772987,2793812400,2194436811,599375589,26213654567,11460036328,14753618239
2010/3/9,7.97,521.57,141,28.43,38.68,15720,19.35,17.92,31.78,0.15,0.68,7.76,0.09,7770.59,350.47,1140.45,10567.65,1660.83,2340.68,2126283016,1580832636,545450380,2964421550,2481081111,483340439,20155559320,10655578412,9499980908
2010/3/10,8.03,527.45,142,28.43,38.88,15680,19.74,18.57,31.8,0.15,0.69,7.76,0.09,7779.08,358.04,1145.61,10563.92,1662.24,2358.95,1918077660,2147620726,-229543066,2368380100,2361902001,6478099,18112245790,11854296210,6257949580
